id,user_id,lesson_id,is_completed,enrolled_at
1,1,1,1,2026-01-31
2,1,2,1,2026-01-31
3,1,3,0,2026-01-31
4,1,4,0,2026-01-31
5,1,5,0,2026-01-31
6,1,6,0,2026-01-31
7,1,7,0,2026-01-31
8,1,8,0,2026-01-31
9,1,9,0,2026-01-31
10,1,10,0,2026-01-31
11,1,11,0,2026-01-31
12,1,12,0,2026-01-31
13,2,1,0,2026-01-31
14,2,2,0,2026-01-31
15,2,3,0,2026-01-31
16,2,4,0,2026-01-31
17,2,5,0,2026-01-31
18,2,6,0,2026-01-31
19,2,7,0,2026-01-31
20,2,8,0,2026-01-31
21,2,9,0,2026-01-31
22,2,10,0,2026-01-31
23,2,11,0,2026-01-31
24,2,12,0,2026-01-31
25,3,1,0,2026-01-31
26,3,2,0,2026-01-31
27,3,3,0,2026-01-31
28,3,4,0,2026-01-31
29,3,5,0,2026-01-31
30,3,6,0,2026-01-31
31,3,7,0,2026-01-31
32,3,8,0,2026-01-31
33,3,9,0,2026-01-31
34,3,10,0,2026-01-31
35,3,11,0,2026-01-31
36,3,12,0,2026-01-31
