id,question_number,quiz_id,question_text,option_1,option_2,option_3,correct_option
1,1,1,Was bedeutet investieren?,Geld ausgeben,Geld anlegen,Geld sparen,1
2,2,1,Warum ist Zinseszins beim Investieren wichtig?,Weil man schneller Geld ausgeben kann,Weil Banken das verlangen,Weil Gewinne wieder mitverzinst werden,2
3,1,2,Was ist eine Aktie?,Ein Kredit,Ein Unternehmensanteil,Eine Versicherung,1
4,1,3,Was macht ein Fonds?,Er spart Geld,Er bündelt Anlagen,Er vergibt Kredite,1
5,1,4,Was ist ein Risiko?,Garantie,Unsicherheit,Gewinn,2
6,1,5,Was bedeutet langfristig investieren?,Schnell verkaufen,Geduldig bleiben,Alles riskieren,2
7,1,6,Warum sollte man sparen?,Für Sicherheit,Für Schulden,Für Stress,1
8,1,7,Was ist eine Sparmethode?,Planlos ausgeben,Gezielt zurücklegen,Alles investieren,3
9,1,8,Was ist ein Budget?,Ein Wunsch,Ein Plan,Ein Kredit,2
10,1,9,Welche Rentenarten gibt es?,Nur staatlich,Staatlich und privat,Keine,2
11,1,10,Warum privat vorsorgen?,Spaß,Zusatzsicherheit,Zufall,2
12,1,11,Was ist staatliche Unterstützung?,Geschenk,Förderung,Schulden,2
13,1,12,Warum früh planen?,Zwang,Zeitvorteil,Pflicht,2
